Group,Instance,Method,Runs,K Target,Avg Final K,Avg Final K Gap,Avg Final D,Avg Budget K @ 480s,Avg Budget K Gap @ 480s,Avg Budget D @ 480s,K Success Rate,K Median Hit Time (s),Gap 100% Target K,Gap 100% K Success Rate,Gap 100% K Median Hit Time (s),Gap 150% Target K,Gap 150% K Success Rate,Gap 150% K Median Hit Time (s),Gap 200% Target K,Gap 200% K Success Rate,Gap 200% K Median Hit Time (s),Gap 250% Target K,Gap 250% K Success Rate,Gap 250% K Median Hit Time (s),Gap 300% Target K,Gap 300% K Success Rate,Gap 300% K Median Hit Time (s),Gap 100% Target Distance,Gap 100% Success Rate,Gap 100% Median Hit Time (s),Gap 150% Target Distance,Gap 150% Success Rate,Gap 150% Median Hit Time (s),Gap 200% Target Distance,Gap 200% Success Rate,Gap 200% Median Hit Time (s),Gap 250% Target Distance,Gap 250% Success Rate,Gap 250% Median Hit Time (s),Gap 300% Target Distance,Gap 300% Success Rate,Gap 300% Median Hit Time (s)
C1,c101.txt,SA,2,10,19.0,9.0,1965.0443938089775,19.0,9.0,2983.12701700682,0.0,,20.0,1.0,402.734375,25.0,1.0,51.8203125,30.0,1.0,18.9296875,35.0,1.0,10.1015625,40.0,1.0,10.1015625,1657.873733885668,0.0,,2072.3421673570847,1.0,619.390625,2486.8106008285017,1.0,538.21875,2901.2790342999187,1.0,470.5,3315.747467771336,1.0,346.078125
C1,c101.txt,TS,2,10,20.0,10.0,2242.3979985507917,20.0,10.0,2242.3979985507917,0.0,,20.0,1.0,388.8125,25.0,1.0,87.078125,30.0,1.0,19.4453125,35.0,1.0,11.046875,40.0,1.0,7.3046875,1657.873733885668,0.0,,2072.3421673570847,0.0,,2486.8106008285017,1.0,102.1875,2901.2790342999187,1.0,40.890625,3315.747467771336,1.0,25.1875
C1,c101.txt,GA,2,10,24.5,14.5,3531.2474344812263,24.5,14.5,3531.2474344812263,0.0,,20.0,0.0,,25.0,1.0,224.703125,30.0,1.0,71.7734375,35.0,1.0,32.1640625,40.0,1.0,17.203125,1657.873733885668,0.0,,2072.3421673570847,0.0,,2486.8106008285017,0.0,,2901.2790342999187,0.0,,3315.747467771336,0.0,
C1,c101.txt,MAS,2,10,22.5,12.5,2624.015797639884,23.0,13.0,2782.728475208428,0.0,,20.0,0.0,,25.0,1.0,262.96875,30.0,1.0,81.8046875,35.0,1.0,24.46875,40.0,1.0,16.734375,1657.873733885668,0.0,,2072.3421673570847,0.0,,2486.8106008285017,0.5,564.734375,2901.2790342999187,1.0,293.0625,3315.747467771336,1.0,68.296875
C1,c101.txt,MAS_RL,2,10,22.0,12.0,2516.3208561428646,22.5,12.5,2407.4560237098804,0.0,,20.0,0.0,,25.0,1.0,139.703125,30.0,1.0,60.8046875,35.0,1.0,23.984375,40.0,1.0,16.4296875,1657.873733885668,0.0,,2072.3421673570847,0.0,,2486.8106008285017,1.0,417.1328125,2901.2790342999187,1.0,209.25,3315.747467771336,1.0,158.765625
C2,c201.txt,SA,2,3,13.0,10.0,1798.2777872975937,13.0,10.0,2241.2910451816606,0.0,,6.0,0.0,,8.0,0.0,,9.0,0.0,,11.0,0.0,,12.0,0.5,425.484375,1183.1131133430029,0.0,,1478.8913916787535,0.0,,1774.6696700145044,0.5,538.1875,2070.447948350255,1.0,503.828125,2366.2262266860057,1.0,462.7734375
C2,c201.txt,TS,2,3,11.5,8.5,2285.5729107768693,11.5,8.5,2285.5729107768693,0.0,,6.0,0.0,,8.0,0.0,,9.0,0.0,,11.0,0.5,338.40625,12.0,1.0,323.515625,1183.1131133430029,0.0,,1478.8913916787535,0.0,,1774.6696700145044,0.0,,2070.447948350255,0.5,156.265625,2366.2262266860057,1.0,46.1640625
C2,c201.txt,GA,2,3,16.5,13.5,3636.9981519808557,16.5,13.5,3636.9981519808557,0.0,,6.0,0.0,,8.0,0.0,,9.0,0.0,,11.0,0.0,,12.0,0.0,,1183.1131133430029,0.0,,1478.8913916787535,0.0,,1774.6696700145044,0.0,,2070.447948350255,0.0,,2366.2262266860057,0.0,
C2,c201.txt,MAS,2,3,16.5,13.5,2693.746538293227,17.0,14.0,2283.144998631532,0.0,,6.0,0.0,,8.0,0.0,,9.0,0.0,,11.0,0.0,,12.0,0.0,,1183.1131133430029,0.0,,1478.8913916787535,0.0,,1774.6696700145044,0.0,,2070.447948350255,0.0,,2366.2262266860057,1.0,426.390625
C2,c201.txt,MAS_RL,2,3,15.0,12.0,2208.1924097183182,15.0,12.0,2208.1924097183182,0.0,,6.0,0.0,,8.0,0.0,,9.0,0.0,,11.0,0.0,,12.0,0.0,,1183.1131133430029,0.0,,1478.8913916787535,0.0,,1774.6696700145044,0.0,,2070.447948350255,0.0,,2366.2262266860057,1.0,328.9140625
