group,instance,method,run,seed,runtime_sec,final_k,final_k_gap,final_d,budget_k,budget_k_gap,budget_d,k_target,k_hit_time_sec,k_target_gap_100,k_hit_time_sec_gap_100,k_target_gap_150,k_hit_time_sec_gap_150,k_target_gap_200,k_hit_time_sec_gap_200,k_target_gap_250,k_hit_time_sec_gap_250,k_target_gap_300,k_hit_time_sec_gap_300,d_target_gap_100,d_hit_time_sec_gap_100,d_target_gap_150,d_hit_time_sec_gap_150,d_target_gap_200,d_hit_time_sec_gap_200,d_target_gap_250,d_hit_time_sec_gap_250,d_target_gap_300,d_hit_time_sec_gap_300
C1,c101.txt,SA,1,1,650.734375,19,9.0,1929.3868960285974,19.0,9.0,2852.069363167307,10,,20,346.1875,25,36.328125,30,19.5625,35,10.671875,40,10.671875,1657.873733885668,,2072.3421673570847,623.796875,2486.8106008285017,529.140625,2901.2790342999187,441.109375,3315.747467771336,303.65625
C1,c101.txt,SA,2,2,641.890625,19,9.0,2000.7018915893573,19.0,9.0,3114.1846708463336,10,,20,459.28125,25,67.3125,30,18.296875,35,9.53125,40,9.53125,1657.873733885668,,2072.3421673570847,614.984375,2486.8106008285017,547.296875,2901.2790342999187,499.890625,3315.747467771336,388.5
C1,c101.txt,TS,1,1,662.265625,20,10.0,2205.3773913152722,20.0,10.0,2205.3773913152722,10,,20,333.421875,25,107.9375,30,21.375,35,9.859375,40,5.84375,1657.873733885668,,2072.3421673570847,,2486.8106008285017,132.234375,2901.2790342999187,44.1875,3315.747467771336,27.84375
C1,c101.txt,TS,2,2,658.109375,20,10.0,2279.418605786311,20.0,10.0,2279.418605786311,10,,20,444.203125,25,66.21875,30,17.515625,35,12.234375,40,8.765625,1657.873733885668,,2072.3421673570847,,2486.8106008285017,72.140625,2901.2790342999187,37.59375,3315.747467771336,22.53125
C1,c101.txt,GA,1,1,635.421875,25,15.0,3400.319927016561,25.0,15.0,3400.319927016561,10,,20,,25,328.875,30,67.0,35,29.9375,40,14.46875,1657.873733885668,,2072.3421673570847,,2486.8106008285017,,2901.2790342999187,,3315.747467771336,
C1,c101.txt,GA,2,2,642.75,24,14.0,3662.1749419458915,24.0,14.0,3662.1749419458915,10,,20,,25,120.53125,30,76.546875,35,34.390625,40,19.9375,1657.873733885668,,2072.3421673570847,,2486.8106008285017,,2901.2790342999187,,3315.747467771336,
C1,c101.txt,MAS,1,1,575.15625,22,12.0,2403.2044089401115,22.0,12.0,2803.338041215014,10,,20,,25,149.859375,30,74.828125,35,32.453125,40,16.984375,1657.873733885668,,2072.3421673570847,,2486.8106008285017,564.734375,2901.2790342999187,254.046875,3315.747467771336,61.625
C1,c101.txt,MAS,2,2,603.4375,23,13.0,2844.827186339657,24.0,14.0,2762.118909201842,10,,20,,25,376.078125,30,88.78125,35,16.484375,40,16.484375,1657.873733885668,,2072.3421673570847,,2486.8106008285017,,2901.2790342999187,332.078125,3315.747467771336,74.96875
C1,c101.txt,MAS_RL,1,1,544.21875,22,12.0,2686.3289269613356,23.0,13.0,2273.137181632214,10,,20,,25,112.140625,30,45.984375,35,31.5625,40,16.453125,1657.873733885668,,2072.3421673570847,,2486.8106008285017,341.515625,2901.2790342999187,197.09375,3315.747467771336,137.9375
C1,c101.txt,MAS_RL,2,2,548.09375,22,12.0,2346.312785324393,22.0,12.0,2541.7748657875463,10,,20,,25,167.265625,30,75.625,35,16.40625,40,16.40625,1657.873733885668,,2072.3421673570847,,2486.8106008285017,492.75,2901.2790342999187,221.40625,3315.747467771336,179.59375
C2,c201.txt,SA,1,1,544.25,14,11.0,1827.1778122331916,14.0,11.0,2218.465600802588,3,,6,,8,,9,,11,,12,,1183.1131133430029,,1478.8913916787535,,1774.6696700145044,,2070.447948350255,514.5625,2366.2262266860057,454.984375
C2,c201.txt,SA,2,2,538.1875,12,9.0,1769.3777623619958,12.0,9.0,2264.1164895607326,3,,6,,8,,9,,11,,12,425.484375,1183.1131133430029,,1478.8913916787535,,1774.6696700145044,538.1875,2070.447948350255,493.09375,2366.2262266860057,470.5625
C2,c201.txt,TS,1,1,546.5,12,9.0,2127.7481274031925,12.0,9.0,2127.7481274031925,3,,6,,8,,9,,11,,12,320.609375,1183.1131133430029,,1478.8913916787535,,1774.6696700145044,,2070.447948350255,,2366.2262266860057,44.953125
C2,c201.txt,TS,2,2,541.046875,11,8.0,2443.3976941505466,11.0,8.0,2443.3976941505466,3,,6,,8,,9,,11,338.40625,12,326.421875,1183.1131133430029,,1478.8913916787535,,1774.6696700145044,,2070.447948350255,156.265625,2366.2262266860057,47.375
C2,c201.txt,GA,1,1,542.953125,17,14.0,3780.0222260291057,17.0,14.0,3780.0222260291057,3,,6,,8,,9,,11,,12,,1183.1131133430029,,1478.8913916787535,,1774.6696700145044,,2070.447948350255,,2366.2262266860057,
C2,c201.txt,GA,2,2,537.1875,16,13.0,3493.9740779326057,16.0,13.0,3493.9740779326057,3,,6,,8,,9,,11,,12,,1183.1131133430029,,1478.8913916787535,,1774.6696700145044,,2070.447948350255,,2366.2262266860057,
