Scope,Method,Runs,K Target Avg,Avg Final K,Avg Final K Gap,Avg Final D,Avg Budget K @ 1200s,Avg Budget K Gap @ 1200s,Avg Budget D @ 1200s,K Success Rate,K Median Hit Time (s),Gap 100% Target K Avg,Gap 100% K Success Rate,Gap 100% K Median Hit Time (s),Gap 150% Target K Avg,Gap 150% K Success Rate,Gap 150% K Median Hit Time (s),Gap 200% Target K Avg,Gap 200% K Success Rate,Gap 200% K Median Hit Time (s),Gap 250% Target K Avg,Gap 250% K Success Rate,Gap 250% K Median Hit Time (s),Gap 300% Target K Avg,Gap 300% K Success Rate,Gap 300% K Median Hit Time (s),Gap 100% Target Distance Avg,Gap 100% Success Rate,Gap 100% Median Hit Time (s),Gap 150% Target Distance Avg,Gap 150% Success Rate,Gap 150% Median Hit Time (s),Gap 200% Target Distance Avg,Gap 200% Success Rate,Gap 200% Median Hit Time (s),Gap 250% Target Distance Avg,Gap 250% Success Rate,Gap 250% Median Hit Time (s),Gap 300% Target Distance Avg,Gap 300% Success Rate,Gap 300% Median Hit Time (s)
C1,SA,2,10.0,17.5,7.5,1984.4340846403015,17.5,7.5,2576.6366918309304,0.0,,20.0,1.0,486.21875,25.0,1.0,30.59375,30.0,1.0,20.9765625,35.0,1.0,20.9765625,40.0,1.0,20.9765625,1657.873733885668,0.0,,2072.3421673570847,1.0,1385.4296875,2486.8106008285017,1.0,1223.765625,2901.2790342999187,1.0,1013.734375,3315.747467771336,1.0,702.4296875
C1,TS,2,10.0,16.5,6.5,2420.0679836859827,16.5,6.5,2420.0679836859827,0.0,,20.0,1.0,361.3984375,25.0,1.0,63.0,30.0,1.0,15.484375,35.0,1.0,7.6328125,40.0,1.0,4.21875,1657.873733885668,0.0,,2072.3421673570847,0.5,203.53125,2486.8106008285017,1.0,96.40625,2901.2790342999187,1.0,36.515625,3315.747467771336,1.0,24.75
C1,GA,2,10.0,21.5,11.5,3330.585636603509,21.5,11.5,3330.585636603509,0.0,,20.0,0.5,253.53125,25.0,1.0,196.3203125,30.0,1.0,45.9921875,35.0,1.0,19.5390625,40.0,1.0,7.7890625,1657.873733885668,0.0,,2072.3421673570847,0.0,,2486.8106008285017,0.0,,2901.2790342999187,0.0,,3315.747467771336,1.0,626.1484375
C1,MAS,2,10.0,19.0,9.0,2152.4186388448607,19.5,9.5,1895.2843422934848,0.0,,20.0,0.5,174.140625,25.0,1.0,130.328125,30.0,1.0,37.7734375,35.0,1.0,20.328125,40.0,1.0,15.5390625,1657.873733885668,0.0,,2072.3421673570847,1.0,772.109375,2486.8106008285017,1.0,324.03125,2901.2790342999187,1.0,253.640625,3315.747467771336,1.0,139.765625
C1,MAS_RL,2,10.0,20.0,10.0,1808.442289844329,20.0,10.0,1808.442289844329,0.0,,20.0,0.5,116.140625,25.0,1.0,164.4140625,30.0,1.0,77.7734375,35.0,1.0,15.1796875,40.0,1.0,15.1796875,1657.873733885668,0.0,,2072.3421673570847,1.0,667.6484375,2486.8106008285017,1.0,299.8203125,2901.2790342999187,1.0,169.046875,3315.747467771336,1.0,90.1484375
C1,MAS_RL_WARM,2,10.0,19.5,9.5,1930.1966832633038,19.5,9.5,1930.700951124909,0.0,,20.0,0.5,342.28125,25.0,1.0,124.6171875,30.0,1.0,55.734375,35.0,1.0,14.984375,40.0,1.0,14.984375,1657.873733885668,0.0,,2072.3421673570847,0.5,550.25,2486.8106008285017,1.0,379.578125,2901.2790342999187,1.0,188.953125,3315.747467771336,1.0,133.96875
C2,SA,2,3.0,10.0,7.0,1768.5788309815662,10.0,7.0,1768.5788309815662,0.0,,6.0,0.0,,8.0,0.0,,9.0,0.5,465.0625,11.0,1.0,328.9609375,12.0,1.0,302.8359375,1183.1131133430029,0.0,,1478.8913916787535,0.0,,1774.6696700145044,0.5,1033.078125,2070.447948350255,1.0,1068.1640625,2366.2262266860057,1.0,880.796875
C2,TS,2,3.0,11.0,8.0,1954.0367359560566,11.0,8.0,1954.0367359560566,0.0,,6.0,0.0,,8.0,0.0,,9.0,0.5,236.578125,11.0,0.5,65.21875,12.0,0.5,43.796875,1183.1131133430029,0.0,,1478.8913916787535,0.0,,1774.6696700145044,0.5,198.125,2070.447948350255,0.5,56.140625,2366.2262266860057,1.0,39.953125
C2,GA,2,3.0,14.0,11.0,3371.5828233758352,14.0,11.0,3371.5828233758352,0.0,,6.0,0.0,,8.0,0.0,,9.0,0.0,,11.0,0.5,764.171875,12.0,0.5,755.21875,1183.1131133430029,0.0,,1478.8913916787535,0.0,,1774.6696700145044,0.0,,2070.447948350255,0.0,,2366.2262266860057,0.0,
C2,MAS,2,3.0,12.5,9.5,1771.4923947378707,12.5,9.5,1771.4923947378707,0.0,,6.0,0.0,,8.0,0.0,,9.0,0.0,,11.0,0.5,599.8125,12.0,0.5,212.34375,1183.1131133430029,0.0,,1478.8913916787535,0.0,,1774.6696700145044,0.5,584.734375,2070.447948350255,1.0,642.375,2366.2262266860057,1.0,228.953125
