Scope,Method,Runs,Success Count,Success Rate,Median Hit Time (s),Mean Hit Time (s)
ALL,SA,12,8,0.6666666666666666,342.109375,297.62890625
ALL,TS,12,8,0.6666666666666666,33.90625,34.48046875
ALL,GA,12,2,0.16666666666666666,102.1328125,102.1328125
ALL,MAS,12,8,0.6666666666666666,241.0703125,207.97265625
ALL,MAS_RL,12,7,0.5833333333333334,192.375,185.92410714285714
C1,SA,2,0,0.0,,
C1,TS,2,0,0.0,,
C1,GA,2,0,0.0,,
C1,MAS,2,0,0.0,,
C1,MAS_RL,2,0,0.0,,
C2,SA,2,0,0.0,,
C2,TS,2,0,0.0,,
C2,GA,2,0,0.0,,
C2,MAS,2,0,0.0,,
C2,MAS_RL,2,0,0.0,,
R1,SA,2,2,1.0,47.1328125,47.1328125
R1,TS,2,2,1.0,22.265625,22.265625
R1,GA,2,2,1.0,102.1328125,102.1328125
R1,MAS,2,2,1.0,88.421875,88.421875
R1,MAS_RL,2,2,1.0,63.875,63.875
R2,SA,2,2,1.0,422.1640625,422.1640625
R2,TS,2,2,1.0,29.28125,29.28125
R2,GA,2,0,0.0,,
R2,MAS,2,2,1.0,188.6171875,188.6171875
R2,MAS_RL,2,2,1.0,242.078125,242.078125
RC1,SA,2,2,1.0,252.390625,252.390625
RC1,TS,2,2,1.0,39.4140625,39.4140625
RC1,GA,2,0,0.0,,
RC1,MAS,2,2,1.0,250.4765625,250.4765625
RC1,MAS_RL,2,2,1.0,176.3671875,176.3671875
RC2,SA,2,2,1.0,468.828125,468.828125
RC2,TS,2,2,1.0,46.9609375,46.9609375
RC2,GA,2,0,0.0,,
RC2,MAS,2,2,1.0,304.375,304.375
RC2,MAS_RL,2,1,0.5,336.828125,336.828125
