Scope,Method,Runs,Success Count,Success Rate,Median Hit Time (s),Mean Hit Time (s)
ALL,SA,12,7,0.5833333333333334,36.328125,80.37723214285714
ALL,TS,12,6,0.5,35.90625,46.229166666666664
ALL,GA,12,6,0.5,117.0234375,132.0234375
ALL,MAS,12,6,0.5,83.6484375,122.16927083333333
ALL,MAS_RL,12,6,0.5,87.8125,82.3984375
C1,SA,2,2,1.0,51.8203125,51.8203125
C1,TS,2,2,1.0,87.078125,87.078125
C1,GA,2,2,1.0,224.703125,224.703125
C1,MAS,2,2,1.0,262.96875,262.96875
C1,MAS_RL,2,2,1.0,139.703125,139.703125
C2,SA,2,0,0.0,,
C2,TS,2,0,0.0,,
C2,GA,2,0,0.0,,
C2,MAS,2,0,0.0,,
C2,MAS_RL,2,0,0.0,,
R1,SA,2,2,1.0,11.828125,11.828125
R1,TS,2,2,1.0,15.703125,15.703125
R1,GA,2,2,1.0,29.0,29.0
R1,MAS,2,2,1.0,19.890625,19.890625
R1,MAS_RL,2,2,1.0,19.6796875,19.6796875
R2,SA,2,1,0.5,361.609375,361.609375
R2,TS,2,0,0.0,,
R2,GA,2,0,0.0,,
R2,MAS,2,0,0.0,,
R2,MAS_RL,2,0,0.0,,
RC1,SA,2,2,1.0,36.8671875,36.8671875
RC1,TS,2,2,1.0,35.90625,35.90625
RC1,GA,2,2,1.0,142.3671875,142.3671875
RC1,MAS,2,2,1.0,83.6484375,83.6484375
RC1,MAS_RL,2,2,1.0,87.8125,87.8125
RC2,SA,2,0,0.0,,
RC2,TS,2,0,0.0,,
RC2,GA,2,0,0.0,,
RC2,MAS,2,0,0.0,,
RC2,MAS_RL,2,0,0.0,,
