instance,method,runs,avg_runtime_sec,avg_vehicles,avg_distance,best_vehicles,best_distance,best_q_table_json,best_action_count_table_json
c101.txt,GA,10,1616.0152015699773,19.1,2802.0922720020126,18,2413.973492382825,,
c102.txt,GA,10,1418.6570824999828,16.5,2778.484309293104,15,2397.2154502620306,,
c201.txt,GA,10,1267.310248090024,11.3,2634.7213876354735,10,2527.084324796128,,
c202.txt,GA,10,1151.3470830700244,9.2,2642.0477281915,8,2798.10330157048,,
r101.txt,GA,10,1904.0704681999982,26.7,2390.6244274994688,25,2298.043723797562,,
r102.txt,GA,10,1665.3437947099912,22.5,2282.2303997816625,21,2286.471413751239,,
r201.txt,GA,10,1190.562331049994,9.8,2466.4365603229116,9,2330.966272859264,,
r202.txt,GA,10,1170.5054787300062,7.8,2386.3202562123506,7,2411.024130645824,,
rc102.txt,GA,10,1626.283259110013,21.4,2586.703390886054,21,2444.013530515453,,
rc103.txt,GA,10,1515.1967993800063,18.7,2452.221548159262,18,2338.0876079087816,,
rc201.txt,GA,10,1298.6699898799766,10.5,3182.863683773477,10,2912.7253219766526,,
rc204.txt,GA,10,936.4138418000075,5.0,2703.8100039586884,5,2438.3947235091837,,
