instance,method,run,seed,runtime_sec,vehicles,distance,q_states,visited_states,trace_json
c101.txt,MAS,1,1,4466.095984700136,17.0,1645.313798290153,,,"[{""elapsed_sec"": 277.22686120006256, ""vehicles"": 21, ""distance"": 2094.5140054954704}, {""elapsed_sec"": 520.3729388001375, ""vehicles"": 20, ""distance"": 2167.854139307807}, {""elapsed_sec"": 746.2731983000413, ""vehicles"": 19, ""distance"": 1792.8356001537452}, {""elapsed_sec"": 976.2955201000441, ""vehicles"": 18, ""distance"": 1968.2406451003587}, {""elapsed_sec"": 1206.8021172001027, ""vehicles"": 18, ""distance"": 1705.379872691979}, {""elapsed_sec"": 1415.9595346001443, ""vehicles"": 17, ""distance"": 1714.91989631985}, {""elapsed_sec"": 1629.528076699935, ""vehicles"": 17, ""distance"": 1675.2020966084374}, {""elapsed_sec"": 1843.6413221000694, ""vehicles"": 17, ""distance"": 1675.2020966084374}, {""elapsed_sec"": 2071.0901908001397, ""vehicles"": 17, ""distance"": 1675.2020966084374}, {""elapsed_sec"": 2283.9468366999645, ""vehicles"": 17, ""distance"": 1675.1919025697907}, {""elapsed_sec"": 2499.773924899986, ""vehicles"": 17, ""distance"": 1675.1919025697907}, {""elapsed_sec"": 2725.434623700101, ""vehicles"": 17, ""distance"": 1675.1919025697907}, {""elapsed_sec"": 2958.467727900017, ""vehicles"": 17, ""distance"": 1675.0076672164082}, {""elapsed_sec"": 3181.1136885001324, ""vehicles"": 17, ""distance"": 1675.0076672164082}, {""elapsed_sec"": 3398.6404367000796, ""vehicles"": 17, ""distance"": 1675.0076672164082}, {""elapsed_sec"": 3608.5530723999254, ""vehicles"": 17, ""distance"": 1668.3957380010988}, {""elapsed_sec"": 3820.843036300037, ""vehicles"": 17, ""distance"": 1668.3957380010988}, {""elapsed_sec"": 4039.778993099928, ""vehicles"": 17, ""distance"": 1663.4548347414752}, {""elapsed_sec"": 4252.563981299987, ""vehicles"": 17, ""distance"": 1645.313798290153}, {""elapsed_sec"": 4466.095982100116, ""vehicles"": 17, ""distance"": 1645.313798290153}, {""elapsed_sec"": 4466.095984700136, ""vehicles"": 17, ""distance"": 1645.313798290153}]"
c101.txt,MAS,2,2,4705.571325799916,17.0,1551.564425129613,,,"[{""elapsed_sec"": 256.10738569987006, ""vehicles"": 19, ""distance"": 2456.5073296420846}, {""elapsed_sec"": 499.2668125999626, ""vehicles"": 19, ""distance"": 1852.7861198200214}, {""elapsed_sec"": 731.2558035999537, ""vehicles"": 19, ""distance"": 1799.01352388597}, {""elapsed_sec"": 955.7777119998354, ""vehicles"": 19, ""distance"": 1799.01352388597}, {""elapsed_sec"": 1175.6653340999037, ""vehicles"": 19, ""distance"": 1799.01352388597}, {""elapsed_sec"": 1394.8923677999992, ""vehicles"": 17, ""distance"": 1707.2678327697668}, {""elapsed_sec"": 1609.1883256, ""vehicles"": 17, ""distance"": 1707.2678327697668}, {""elapsed_sec"": 1822.6215631999075, ""vehicles"": 17, ""distance"": 1620.5393551384714}, {""elapsed_sec"": 2036.5418239999563, ""vehicles"": 17, ""distance"": 1568.8909028076002}, {""elapsed_sec"": 2257.0758318000007, ""vehicles"": 17, ""distance"": 1568.8909028076002}, {""elapsed_sec"": 2482.2009973998647, ""vehicles"": 17, ""distance"": 1568.8909028076002}, {""elapsed_sec"": 2716.6030279998668, ""vehicles"": 17, ""distance"": 1568.8909028076002}, {""elapsed_sec"": 2965.2221569998655, ""vehicles"": 17, ""distance"": 1568.8909028076002}, {""elapsed_sec"": 3215.1046885999385, ""vehicles"": 17, ""distance"": 1568.8909028076002}, {""elapsed_sec"": 3458.6337900999933, ""vehicles"": 17, ""distance"": 1568.8909028076002}, {""elapsed_sec"": 3702.237403099891, ""vehicles"": 17, ""distance"": 1554.20233951001}, {""elapsed_sec"": 3953.5227542000357, ""vehicles"": 17, ""distance"": 1554.20233951001}, {""elapsed_sec"": 4212.755613300018, ""vehicles"": 17, ""distance"": 1554.20233951001}, {""elapsed_sec"": 4458.383140799822, ""vehicles"": 17, ""distance"": 1551.564425129613}, {""elapsed_sec"": 4705.571323500015, ""vehicles"": 17, ""distance"": 1551.564425129613}, {""elapsed_sec"": 4705.571325799916, ""vehicles"": 17, ""distance"": 1551.564425129613}]"
c101.txt,MAS,3,3,4382.8504252999555,17.0,1584.899070034833,,,"[{""elapsed_sec"": 300.76882770005614, ""vehicles"": 21, ""distance"": 2161.5270838691386}, {""elapsed_sec"": 584.6794227000792, ""vehicles"": 20, ""distance"": 2174.1343684567496}, {""elapsed_sec"": 855.7108686999418, ""vehicles"": 20, ""distance"": 2174.1343684567496}, {""elapsed_sec"": 1086.5916747001465, ""vehicles"": 20, ""distance"": 2174.1343684567496}, {""elapsed_sec"": 1321.258726600092, ""vehicles"": 20, ""distance"": 1931.6838060439682}, {""elapsed_sec"": 1552.5921906000003, ""vehicles"": 20, ""distance"": 1931.6838060439682}, {""elapsed_sec"": 1781.0783915000502, ""vehicles"": 19, ""distance"": 1892.3953075322916}, {""elapsed_sec"": 2012.9108164999634, ""vehicles"": 18, ""distance"": 1777.7893259239177}, {""elapsed_sec"": 2242.1080068999436, ""vehicles"": 18, ""distance"": 1777.7893259239177}, {""elapsed_sec"": 2467.117990900064, ""vehicles"": 18, ""distance"": 1682.8656471172533}, {""elapsed_sec"": 2678.6551437000744, ""vehicles"": 17, ""distance"": 2015.6842189835286}, {""elapsed_sec"": 2896.0732707001735, ""vehicles"": 17, ""distance"": 1642.6573774923695}, {""elapsed_sec"": 3107.1482152000535, ""vehicles"": 17, ""distance"": 1642.6573774923695}, {""elapsed_sec"": 3325.523718800163, ""vehicles"": 17, ""distance"": 1642.6573774923695}, {""elapsed_sec"": 3545.016490699956, ""vehicles"": 17, ""distance"": 1642.6573774923695}, {""elapsed_sec"": 3740.9933768999763, ""vehicles"": 17, ""distance"": 1642.6573774923695}, {""elapsed_sec"": 3893.353494900046, ""vehicles"": 17, ""distance"": 1588.3805006282726}, {""elapsed_sec"": 4057.1916812001728, ""vehicles"": 17, ""distance"": 1585.8988892288291}, {""elapsed_sec"": 4219.7492917999625, ""vehicles"": 17, ""distance"": 1585.8988892288291}, {""elapsed_sec"": 4382.8504234000575, ""vehicles"": 17, ""distance"": 1584.899070034833}, {""elapsed_sec"": 4382.8504252999555, ""vehicles"": 17, ""distance"": 1584.899070034833}]"
c101.txt,MAS,4,4,3488.9317393000238,18.0,1584.5162620863846,,,"[{""elapsed_sec"": 197.16304490016773, ""vehicles"": 22, ""distance"": 2044.8031171496214}, {""elapsed_sec"": 381.45653210021555, ""vehicles"": 21, ""distance"": 2175.9542889893237}, {""elapsed_sec"": 561.6711380002089, ""vehicles"": 20, ""distance"": 2257.307128199761}, {""elapsed_sec"": 740.7250163001008, ""vehicles"": 20, ""distance"": 1758.526605411356}, {""elapsed_sec"": 918.0506375001278, ""vehicles"": 20, ""distance"": 1745.376750901926}, {""elapsed_sec"": 1093.0173500000965, ""vehicles"": 19, ""distance"": 1845.2205845269343}, {""elapsed_sec"": 1269.1124111001845, ""vehicles"": 19, ""distance"": 1845.2205845269343}, {""elapsed_sec"": 1443.1126276000869, ""vehicles"": 19, ""distance"": 1651.316086370477}, {""elapsed_sec"": 1615.8698024000041, ""vehicles"": 19, ""distance"": 1651.316086370477}, {""elapsed_sec"": 1788.221748100128, ""vehicles"": 18, ""distance"": 1754.2100542548696}, {""elapsed_sec"": 1958.4468906000257, ""vehicles"": 18, ""distance"": 1754.2100542548696}, {""elapsed_sec"": 2127.5913845000323, ""vehicles"": 18, ""distance"": 1754.2100542548696}, {""elapsed_sec"": 2297.9212256001774, ""vehicles"": 18, ""distance"": 1754.2100542548696}, {""elapsed_sec"": 2476.71149360016, ""vehicles"": 18, ""distance"": 1693.6635007434925}, {""elapsed_sec"": 2647.5690914001316, ""vehicles"": 18, ""distance"": 1662.1017532055384}, {""elapsed_sec"": 2817.4134109001607, ""vehicles"": 18, ""distance"": 1612.5774673672618}, {""elapsed_sec"": 2985.3224443001673, ""vehicles"": 18, ""distance"": 1612.5774673672618}, {""elapsed_sec"": 3155.1191522001754, ""vehicles"": 18, ""distance"": 1612.5774673672618}, {""elapsed_sec"": 3322.189574000193, ""vehicles"": 18, ""distance"": 1602.3843799560098}, {""elapsed_sec"": 3488.93173750001, ""vehicles"": 18, ""distance"": 1584.5162620863846}, {""elapsed_sec"": 3488.9317393000238, ""vehicles"": 18, ""distance"": 1584.5162620863846}]"
c101.txt,MAS,5,5,3524.5873030000366,17.0,1874.1296441797447,,,"[{""elapsed_sec"": 200.47025389992632, ""vehicles"": 23, ""distance"": 2212.167052966983}, {""elapsed_sec"": 388.12149129994214, ""vehicles"": 21, ""distance"": 2384.398742703638}, {""elapsed_sec"": 576.1192657998763, ""vehicles"": 21, ""distance"": 2384.398742703638}, {""elapsed_sec"": 759.071861299919, ""vehicles"": 21, ""distance"": 2324.9345772300876}, {""elapsed_sec"": 941.4631405000109, ""vehicles"": 20, ""distance"": 1828.3065708432052}, {""elapsed_sec"": 1122.4181740998756, ""vehicles"": 19, ""distance"": 1863.4943875022627}, {""elapsed_sec"": 1296.870535499882, ""vehicles"": 19, ""distance"": 1863.4943875022627}, {""elapsed_sec"": 1468.885238799965, ""vehicles"": 19, ""distance"": 1741.6223169562336}, {""elapsed_sec"": 1640.2801417000592, ""vehicles"": 19, ""distance"": 1740.1787359942025}, {""elapsed_sec"": 1816.6383002998773, ""vehicles"": 19, ""distance"": 1740.1787359942025}, {""elapsed_sec"": 1991.6017426999751, ""vehicles"": 18, ""distance"": 1744.9209381780959}, {""elapsed_sec"": 2165.8371367999353, ""vehicles"": 18, ""distance"": 1744.9209381780959}, {""elapsed_sec"": 2341.320872399956, ""vehicles"": 18, ""distance"": 1662.0001308366882}, {""elapsed_sec"": 2515.1808722999413, ""vehicles"": 18, ""distance"": 1662.0001308366882}, {""elapsed_sec"": 2685.4295457999688, ""vehicles"": 17, ""distance"": 2073.9544012922206}, {""elapsed_sec"": 2854.6116315999534, ""vehicles"": 17, ""distance"": 2073.9544012922206}, {""elapsed_sec"": 3021.300896300003, ""vehicles"": 17, ""distance"": 1883.9584766293708}, {""elapsed_sec"": 3188.785064100055, ""vehicles"": 17, ""distance"": 1874.1296441797447}, {""elapsed_sec"": 3356.075380400056, ""vehicles"": 17, ""distance"": 1874.1296441797447}, {""elapsed_sec"": 3524.5873010000214, ""vehicles"": 17, ""distance"": 1874.1296441797447}, {""elapsed_sec"": 3524.5873030000366, ""vehicles"": 17, ""distance"": 1874.1296441797447}]"
c101.txt,MAS,6,6,3416.1140972001012,16.0,1524.0645975298416,,,"[{""elapsed_sec"": 205.7940070000477, ""vehicles"": 22, ""distance"": 2104.86141310061}, {""elapsed_sec"": 388.98097550007515, ""vehicles"": 20, ""distance"": 2111.44988136905}, {""elapsed_sec"": 565.6946545001119, ""vehicles"": 18, ""distance"": 2085.5062140214636}, {""elapsed_sec"": 733.6474254999775, ""vehicles"": 18, ""distance"": 1656.9625375924184}, {""elapsed_sec"": 904.6244314999785, ""vehicles"": 18, ""distance"": 1647.859332572551}, {""elapsed_sec"": 1073.0237189000472, ""vehicles"": 18, ""distance"": 1647.859332572551}, {""elapsed_sec"": 1243.5250212000683, ""vehicles"": 18, ""distance"": 1647.859332572551}, {""elapsed_sec"": 1412.0594613000285, ""vehicles"": 18, ""distance"": 1587.9449429143312}, {""elapsed_sec"": 1581.0863225001376, ""vehicles"": 18, ""distance"": 1571.7968131209852}, {""elapsed_sec"": 1749.9269059000071, ""vehicles"": 18, ""distance"": 1556.7788359890753}, {""elapsed_sec"": 1918.5119612000417, ""vehicles"": 17, ""distance"": 1597.2876825149237}, {""elapsed_sec"": 2087.1897309999913, ""vehicles"": 17, ""distance"": 1597.2876825149237}, {""elapsed_sec"": 2257.9722375001293, ""vehicles"": 17, ""distance"": 1597.2876825149237}, {""elapsed_sec"": 2426.1632107000332, ""vehicles"": 17, ""distance"": 1597.2876825149237}, {""elapsed_sec"": 2594.723818300059, ""vehicles"": 16, ""distance"": 1524.0645975298416}, {""elapsed_sec"": 2769.152868699981, ""vehicles"": 16, ""distance"": 1524.0645975298416}, {""elapsed_sec"": 2930.1370845001657, ""vehicles"": 16, ""distance"": 1524.0645975298416}, {""elapsed_sec"": 3095.034476700006, ""vehicles"": 16, ""distance"": 1524.0645975298416}, {""elapsed_sec"": 3254.9632018001284, ""vehicles"": 16, ""distance"": 1524.0645975298416}, {""elapsed_sec"": 3416.11409440008, ""vehicles"": 16, ""distance"": 1524.0645975298416}, {""elapsed_sec"": 3416.1140972001012, ""vehicles"": 16, ""distance"": 1524.0645975298416}]"
c101.txt,MAS,7,7,3391.9896346998867,17.0,1556.734703914059,,,"[{""elapsed_sec"": 199.91614570003003, ""vehicles"": 20, ""distance"": 2184.839397527406}, {""elapsed_sec"": 376.6247993998695, ""vehicles"": 19, ""distance"": 1828.5157742790077}, {""elapsed_sec"": 553.3284698999487, ""vehicles"": 17, ""distance"": 1910.0510929069867}, {""elapsed_sec"": 718.3030403999146, ""vehicles"": 17, ""distance"": 1910.0510929069867}, {""elapsed_sec"": 890.8810433000326, ""vehicles"": 17, ""distance"": 1696.2775159945215}, {""elapsed_sec"": 1060.2683659999166, ""vehicles"": 17, ""distance"": 1696.2775159945215}, {""elapsed_sec"": 1226.0953595999163, ""vehicles"": 17, ""distance"": 1696.2775159945215}, {""elapsed_sec"": 1391.1719565999229, ""vehicles"": 17, ""distance"": 1696.2775159945215}, {""elapsed_sec"": 1560.5181090999395, ""vehicles"": 17, ""distance"": 1613.9865019679742}, {""elapsed_sec"": 1730.9218252999708, ""vehicles"": 17, ""distance"": 1613.9865019679742}, {""elapsed_sec"": 1895.957496299874, ""vehicles"": 17, ""distance"": 1613.9865019679742}, {""elapsed_sec"": 2060.2612485999707, ""vehicles"": 17, ""distance"": 1613.9865019679742}, {""elapsed_sec"": 2227.7158574999776, ""vehicles"": 17, ""distance"": 1613.3073536028041}, {""elapsed_sec"": 2394.2682115000207, ""vehicles"": 17, ""distance"": 1572.3911585297683}, {""elapsed_sec"": 2560.341961500002, ""vehicles"": 17, ""distance"": 1572.3911585297683}, {""elapsed_sec"": 2725.6893688000273, ""vehicles"": 17, ""distance"": 1557.983716094364}, {""elapsed_sec"": 2891.8713348999154, ""vehicles"": 17, ""distance"": 1556.734703914059}, {""elapsed_sec"": 3059.9208903999534, ""vehicles"": 17, ""distance"": 1556.734703914059}, {""elapsed_sec"": 3226.185008399887, ""vehicles"": 17, ""distance"": 1556.734703914059}, {""elapsed_sec"": 3391.989632599987, ""vehicles"": 17, ""distance"": 1556.734703914059}, {""elapsed_sec"": 3391.9896346998867, ""vehicles"": 17, ""distance"": 1556.734703914059}]"
c101.txt,MAS,8,8,3561.0437739999034,17.0,1557.184792248546,,,"[{""elapsed_sec"": 199.57625399995595, ""vehicles"": 21, ""distance"": 2195.5593567983515}, {""elapsed_sec"": 382.79780079983175, ""vehicles"": 20, ""distance"": 1806.7318988425375}, {""elapsed_sec"": 565.0175000999589, ""vehicles"": 19, ""distance"": 2313.819391965409}, {""elapsed_sec"": 749.6445873999037, ""vehicles"": 19, ""distance"": 1761.3668609024296}, {""elapsed_sec"": 931.96470149979, ""vehicles"": 18, ""distance"": 1715.1416243833642}, {""elapsed_sec"": 1110.1123026998248, ""vehicles"": 17, ""distance"": 1758.6670749866976}, {""elapsed_sec"": 1283.8298225000035, ""vehicles"": 17, ""distance"": 1758.6670749866976}, {""elapsed_sec"": 1460.3795961998403, ""vehicles"": 17, ""distance"": 1674.509704000402}, {""elapsed_sec"": 1638.6468051997945, ""vehicles"": 17, ""distance"": 1606.6205648508533}, {""elapsed_sec"": 1813.7596430999693, ""vehicles"": 17, ""distance"": 1606.6205648508533}, {""elapsed_sec"": 1987.1027871998958, ""vehicles"": 17, ""distance"": 1606.6205648508533}, {""elapsed_sec"": 2160.287554399809, ""vehicles"": 17, ""distance"": 1606.6205648508533}, {""elapsed_sec"": 2332.3090360998176, ""vehicles"": 17, ""distance"": 1606.6205648508533}, {""elapsed_sec"": 2506.4308391998056, ""vehicles"": 17, ""distance"": 1603.9122067371227}, {""elapsed_sec"": 2682.0879418998957, ""vehicles"": 17, ""distance"": 1603.9122067371227}, {""elapsed_sec"": 2859.066841199994, ""vehicles"": 17, ""distance"": 1603.9122067371227}, {""elapsed_sec"": 3033.3499419, ""vehicles"": 17, ""distance"": 1574.0526846438597}, {""elapsed_sec"": 3207.9422130999155, ""vehicles"": 17, ""distance"": 1558.1459653237137}, {""elapsed_sec"": 3382.7532839998603, ""vehicles"": 17, ""distance"": 1557.184792248546}, {""elapsed_sec"": 3561.043772300007, ""vehicles"": 17, ""distance"": 1557.184792248546}, {""elapsed_sec"": 3561.0437739999034, ""vehicles"": 17, ""distance"": 1557.184792248546}]"
c101.txt,MAS,9,9,3832.7280397000723,18.0,1483.1206503673277,,,"[{""elapsed_sec"": 202.1351572999265, ""vehicles"": 22, ""distance"": 2150.955566162725}, {""elapsed_sec"": 387.4783582999371, ""vehicles"": 20, ""distance"": 2219.2739501965298}, {""elapsed_sec"": 565.5634171001147, ""vehicles"": 20, ""distance"": 1833.54902252753}, {""elapsed_sec"": 750.4429359000642, ""vehicles"": 19, ""distance"": 2556.208721550921}, {""elapsed_sec"": 947.5258949999698, ""vehicles"": 19, ""distance"": 2077.6191376484426}, {""elapsed_sec"": 1144.2457866000477, ""vehicles"": 18, ""distance"": 2119.9479527253043}, {""elapsed_sec"": 1339.2688060998917, ""vehicles"": 18, ""distance"": 2119.9479527253043}, {""elapsed_sec"": 1534.618469499983, ""vehicles"": 18, ""distance"": 1866.8598562950401}, {""elapsed_sec"": 1733.4204450999387, ""vehicles"": 18, ""distance"": 1799.0388483726422}, {""elapsed_sec"": 1930.0492436001077, ""vehicles"": 18, ""distance"": 1696.030831240024}, {""elapsed_sec"": 2127.6689458000474, ""vehicles"": 18, ""distance"": 1696.030831240024}, {""elapsed_sec"": 2325.9140331998933, ""vehicles"": 18, ""distance"": 1663.097233294854}, {""elapsed_sec"": 2521.268222599989, ""vehicles"": 18, ""distance"": 1592.2757406995204}, {""elapsed_sec"": 2714.7651442999486, ""vehicles"": 18, ""distance"": 1584.1822472191643}, {""elapsed_sec"": 2908.5487651999574, ""vehicles"": 18, ""distance"": 1571.770661386382}, {""elapsed_sec"": 3104.730503299972, ""vehicles"": 18, ""distance"": 1571.770661386382}, {""elapsed_sec"": 3294.1021390000824, ""vehicles"": 18, ""distance"": 1571.074880317422}, {""elapsed_sec"": 3471.7245881001, ""vehicles"": 18, ""distance"": 1571.074880317422}, {""elapsed_sec"": 3651.8119729999453, ""vehicles"": 18, ""distance"": 1483.1206503673277}, {""elapsed_sec"": 3832.7280349000357, ""vehicles"": 18, ""distance"": 1483.1206503673277}, {""elapsed_sec"": 3832.7280397000723, ""vehicles"": 18, ""distance"": 1483.1206503673277}]"
c101.txt,MAS,10,10,3338.363516700221,16.0,1464.2592561105644,,,"[{""elapsed_sec"": 198.30173380021006, ""vehicles"": 21, ""distance"": 2248.9565928467914}, {""elapsed_sec"": 379.7040282001253, ""vehicles"": 19, ""distance"": 1831.7195225273697}, {""elapsed_sec"": 552.9482359001413, ""vehicles"": 19, ""distance"": 1831.7195225273697}, {""elapsed_sec"": 725.9419550001621, ""vehicles"": 19, ""distance"": 1792.6175980055384}, {""elapsed_sec"": 895.9608044000342, ""vehicles"": 18, ""distance"": 1967.8457736684404}, {""elapsed_sec"": 1061.552077300148, ""vehicles"": 17, ""distance"": 1787.9460211154546}, {""elapsed_sec"": 1226.8386567002162, ""vehicles"": 17, ""distance"": 1775.4121029057367}, {""elapsed_sec"": 1390.569336200133, ""vehicles"": 17, ""distance"": 1707.2588812696476}, {""elapsed_sec"": 1555.0221298001707, ""vehicles"": 17, ""distance"": 1707.2588812696476}, {""elapsed_sec"": 1720.44030570006, ""vehicles"": 17, ""distance"": 1655.2594855294392}, {""elapsed_sec"": 1884.0991533000488, ""vehicles"": 17, ""distance"": 1623.8242947138808}, {""elapsed_sec"": 2048.2604860002175, ""vehicles"": 16, ""distance"": 1544.5739078125482}, {""elapsed_sec"": 2208.5117581000086, ""vehicles"": 16, ""distance"": 1488.595975143032}, {""elapsed_sec"": 2369.0376467001624, ""vehicles"": 16, ""distance"": 1468.0383100888703}, {""elapsed_sec"": 2530.768918600166, ""vehicles"": 16, ""distance"": 1467.6366783316012}, {""elapsed_sec"": 2692.0651669001672, ""vehicles"": 16, ""distance"": 1467.2002189414497}, {""elapsed_sec"": 2853.7796167000197, ""vehicles"": 16, ""distance"": 1467.2002189414497}, {""elapsed_sec"": 3015.121088200016, ""vehicles"": 16, ""distance"": 1467.2002189414497}, {""elapsed_sec"": 3176.0369108000305, ""vehicles"": 16, ""distance"": 1467.2002189414497}, {""elapsed_sec"": 3338.363515400095, ""vehicles"": 16, ""distance"": 1464.2592561105644}, {""elapsed_sec"": 3338.363516700221, ""vehicles"": 16, ""distance"": 1464.2592561105644}]"
