instance,method,run,seed,runtime_sec,vehicles,distance,q_states,visited_states,trace_json
c101.txt,MAS_RL,1,2,3351.303900400002,16.0,1664.297690641282,9.0,7.0,"[{""elapsed_sec"": 196.60362980002537, ""vehicles"": 19, ""distance"": 2456.5073296420846}, {""elapsed_sec"": 385.4134867999819, ""vehicles"": 19, ""distance"": 2456.5073296420846}, {""elapsed_sec"": 563.8942256000009, ""vehicles"": 19, ""distance"": 2193.481489751998}, {""elapsed_sec"": 741.3394895999809, ""vehicles"": 19, ""distance"": 1852.7861198200214}, {""elapsed_sec"": 908.3549061000231, ""vehicles"": 17, ""distance"": 2102.3441836232314}, {""elapsed_sec"": 1052.6312492000288, ""vehicles"": 16, ""distance"": 1706.1999237915988}, {""elapsed_sec"": 1209.2229506000294, ""vehicles"": 16, ""distance"": 1706.1999237915988}, {""elapsed_sec"": 1379.0255600999808, ""vehicles"": 16, ""distance"": 1706.1999237915988}, {""elapsed_sec"": 1546.1480599999777, ""vehicles"": 16, ""distance"": 1706.1999237915988}, {""elapsed_sec"": 1700.037734500016, ""vehicles"": 16, ""distance"": 1706.1999237915988}, {""elapsed_sec"": 1865.9305560999783, ""vehicles"": 16, ""distance"": 1706.1999237915988}, {""elapsed_sec"": 2033.184901200002, ""vehicles"": 16, ""distance"": 1706.1999237915988}, {""elapsed_sec"": 2201.1537132000085, ""vehicles"": 16, ""distance"": 1666.0476825969358}, {""elapsed_sec"": 2368.9412444999907, ""vehicles"": 16, ""distance"": 1666.0476825969358}, {""elapsed_sec"": 2534.3229145000223, ""vehicles"": 16, ""distance"": 1664.297690641282}, {""elapsed_sec"": 2703.1888998000068, ""vehicles"": 16, ""distance"": 1664.297690641282}, {""elapsed_sec"": 2865.8665132999886, ""vehicles"": 16, ""distance"": 1664.297690641282}, {""elapsed_sec"": 3017.3467929000035, ""vehicles"": 16, ""distance"": 1664.297690641282}, {""elapsed_sec"": 3187.055627099995, ""vehicles"": 16, ""distance"": 1664.297690641282}, {""elapsed_sec"": 3351.3038969000336, ""vehicles"": 16, ""distance"": 1664.297690641282}, {""elapsed_sec"": 3351.303900400002, ""vehicles"": 16, ""distance"": 1664.297690641282}]"
c101.txt,MAS_RL,2,3,3448.6082431999967,17.0,1570.5657472981463,11.0,9.0,"[{""elapsed_sec"": 202.3477517000283, ""vehicles"": 25, ""distance"": 3711.774627993536}, {""elapsed_sec"": 401.5403709000093, ""vehicles"": 23, ""distance"": 2015.7513008019694}, {""elapsed_sec"": 589.8846498000203, ""vehicles"": 21, ""distance"": 2071.3091996305575}, {""elapsed_sec"": 769.9166853000061, ""vehicles"": 19, ""distance"": 2121.7407582964884}, {""elapsed_sec"": 947.4668917999952, ""vehicles"": 19, ""distance"": 2121.7407582964884}, {""elapsed_sec"": 1129.1134892000118, ""vehicles"": 19, ""distance"": 2121.7407582964884}, {""elapsed_sec"": 1288.3604993000044, ""vehicles"": 18, ""distance"": 2122.210940734945}, {""elapsed_sec"": 1464.3164701000205, ""vehicles"": 18, ""distance"": 2122.210940734945}, {""elapsed_sec"": 1642.2270556000294, ""vehicles"": 18, ""distance"": 2116.363170923177}, {""elapsed_sec"": 1821.4380030000466, ""vehicles"": 18, ""distance"": 1755.0761598795525}, {""elapsed_sec"": 1993.4851549000014, ""vehicles"": 17, ""distance"": 1624.0355243719189}, {""elapsed_sec"": 2162.446120000037, ""vehicles"": 17, ""distance"": 1624.0355243719189}, {""elapsed_sec"": 2333.3048605000367, ""vehicles"": 17, ""distance"": 1573.692958168421}, {""elapsed_sec"": 2503.900415900047, ""vehicles"": 17, ""distance"": 1573.692958168421}, {""elapsed_sec"": 2666.8328817000147, ""vehicles"": 17, ""distance"": 1573.692958168421}, {""elapsed_sec"": 2806.860355300014, ""vehicles"": 17, ""distance"": 1573.692958168421}, {""elapsed_sec"": 2972.7320028000395, ""vehicles"": 17, ""distance"": 1573.692958168421}, {""elapsed_sec"": 3139.5163306000177, ""vehicles"": 17, ""distance"": 1573.692958168421}, {""elapsed_sec"": 3307.223625600047, ""vehicles"": 17, ""distance"": 1570.8853877323784}, {""elapsed_sec"": 3448.6082413000404, ""vehicles"": 17, ""distance"": 1570.5657472981463}, {""elapsed_sec"": 3448.6082431999967, ""vehicles"": 17, ""distance"": 1570.5657472981463}]"
c201.txt,MAS_RL,1,2,2800.9267077000113,10.0,1511.949062893073,11.0,10.0,"[{""elapsed_sec"": 171.92784600000596, ""vehicles"": 14, ""distance"": 2019.679225622342}, {""elapsed_sec"": 329.25987180002267, ""vehicles"": 12, ""distance"": 2499.6285707403567}, {""elapsed_sec"": 477.2984134000144, ""vehicles"": 12, ""distance"": 2077.959062714688}, {""elapsed_sec"": 622.4726313999854, ""vehicles"": 11, ""distance"": 1836.5828820969414}, {""elapsed_sec"": 760.9906950999866, ""vehicles"": 11, ""distance"": 1717.6472417022871}, {""elapsed_sec"": 880.7024877000367, ""vehicles"": 11, ""distance"": 1666.9966946647912}, {""elapsed_sec"": 1008.6871763000381, ""vehicles"": 11, ""distance"": 1666.9966946647912}, {""elapsed_sec"": 1147.5286395000294, ""vehicles"": 10, ""distance"": 1870.5113116421162}, {""elapsed_sec"": 1283.064260700019, ""vehicles"": 10, ""distance"": 1870.5113116421162}, {""elapsed_sec"": 1414.3942663000198, ""vehicles"": 10, ""distance"": 1870.5113116421162}, {""elapsed_sec"": 1548.2086113000405, ""vehicles"": 10, ""distance"": 1870.5113116421162}, {""elapsed_sec"": 1694.3320795000182, ""vehicles"": 10, ""distance"": 1870.5113116421162}, {""elapsed_sec"": 1835.457790000015, ""vehicles"": 10, ""distance"": 1622.264663076376}, {""elapsed_sec"": 1978.4126681000344, ""vehicles"": 10, ""distance"": 1622.264663076376}, {""elapsed_sec"": 2114.4976248000166, ""vehicles"": 10, ""distance"": 1511.949062893073}, {""elapsed_sec"": 2253.9986705000047, ""vehicles"": 10, ""distance"": 1511.949062893073}, {""elapsed_sec"": 2389.7522842999897, ""vehicles"": 10, ""distance"": 1511.949062893073}, {""elapsed_sec"": 2526.778126900026, ""vehicles"": 10, ""distance"": 1511.949062893073}, {""elapsed_sec"": 2661.5392742000404, ""vehicles"": 10, ""distance"": 1511.949062893073}, {""elapsed_sec"": 2800.9267059999984, ""vehicles"": 10, ""distance"": 1511.949062893073}, {""elapsed_sec"": 2800.9267077000113, ""vehicles"": 10, ""distance"": 1511.949062893073}]"
c201.txt,MAS_RL,2,3,2951.2997972999583,10.0,1483.9426764843888,14.0,12.0,"[{""elapsed_sec"": 173.7158528, ""vehicles"": 19, ""distance"": 3592.9272429655425}, {""elapsed_sec"": 340.31807099998696, ""vehicles"": 15, ""distance"": 2038.6918331061156}, {""elapsed_sec"": 498.8520164999645, ""vehicles"": 12, ""distance"": 2279.254902492419}, {""elapsed_sec"": 648.933559099969, ""vehicles"": 12, ""distance"": 2041.774036433048}, {""elapsed_sec"": 797.1196585999569, ""vehicles"": 12, ""distance"": 1746.7306498069904}, {""elapsed_sec"": 944.7644891999662, ""vehicles"": 12, ""distance"": 1696.867439351331}, {""elapsed_sec"": 1084.6044063000008, ""vehicles"": 12, ""distance"": 1696.867439351331}, {""elapsed_sec"": 1245.9936341999564, ""vehicles"": 12, ""distance"": 1696.867439351331}, {""elapsed_sec"": 1400.3322105999687, ""vehicles"": 12, ""distance"": 1696.867439351331}, {""elapsed_sec"": 1556.6380274000112, ""vehicles"": 12, ""distance"": 1582.397587266407}, {""elapsed_sec"": 1709.255410999991, ""vehicles"": 11, ""distance"": 1784.07882866711}, {""elapsed_sec"": 1862.128021499957, ""vehicles"": 10, ""distance"": 1774.4120876727065}, {""elapsed_sec"": 2003.3017938999692, ""vehicles"": 10, ""distance"": 1576.2399699727305}, {""elapsed_sec"": 2138.2464504999807, ""vehicles"": 10, ""distance"": 1576.2399699727305}, {""elapsed_sec"": 2267.7383732000017, ""vehicles"": 10, ""distance"": 1576.2399699727305}, {""elapsed_sec"": 2407.0072029999574, ""vehicles"": 10, ""distance"": 1576.2399699727305}, {""elapsed_sec"": 2546.100124999997, ""vehicles"": 10, ""distance"": 1576.2399699727305}, {""elapsed_sec"": 2689.8222470000037, ""vehicles"": 10, ""distance"": 1576.2399699727305}, {""elapsed_sec"": 2808.3113358999835, ""vehicles"": 10, ""distance"": 1484.952155637784}, {""elapsed_sec"": 2951.2997957000043, ""vehicles"": 10, ""distance"": 1483.9426764843888}, {""elapsed_sec"": 2951.2997972999583, ""vehicles"": 10, ""distance"": 1483.9426764843888}]"
r101.txt,MAS_RL,1,2,4094.8640210999874,25.0,1945.070977947428,9.0,7.0,"[{""elapsed_sec"": 249.0365063000354, ""vehicles"": 30, ""distance"": 2254.403882369701}, {""elapsed_sec"": 482.3083459000336, ""vehicles"": 30, ""distance"": 2178.1445476043937}, {""elapsed_sec"": 706.5961727999966, ""vehicles"": 28, ""distance"": 2206.7704394476154}, {""elapsed_sec"": 925.6632106000325, ""vehicles"": 26, ""distance"": 2114.68000474157}, {""elapsed_sec"": 1126.6188705000095, ""vehicles"": 25, ""distance"": 2030.605186638983}, {""elapsed_sec"": 1297.738264899992, ""vehicles"": 25, ""distance"": 1993.8259826609312}, {""elapsed_sec"": 1487.0948678000132, ""vehicles"": 25, ""distance"": 1992.1767090979517}, {""elapsed_sec"": 1693.6034420999931, ""vehicles"": 25, ""distance"": 1992.1767090979517}, {""elapsed_sec"": 1899.5895776000107, ""vehicles"": 25, ""distance"": 1986.234816865274}, {""elapsed_sec"": 2087.017610399984, ""vehicles"": 25, ""distance"": 1986.234816865274}, {""elapsed_sec"": 2271.8461774000316, ""vehicles"": 25, ""distance"": 1986.234816865274}, {""elapsed_sec"": 2479.2094568000175, ""vehicles"": 25, ""distance"": 1986.234816865274}, {""elapsed_sec"": 2681.186143000028, ""vehicles"": 25, ""distance"": 1976.0298565767137}, {""elapsed_sec"": 2887.3220959000173, ""vehicles"": 25, ""distance"": 1950.1392703826946}, {""elapsed_sec"": 3090.5481811999925, ""vehicles"": 25, ""distance"": 1945.070977947428}, {""elapsed_sec"": 3296.7678651000024, ""vehicles"": 25, ""distance"": 1945.070977947428}, {""elapsed_sec"": 3500.146286500036, ""vehicles"": 25, ""distance"": 1945.070977947428}, {""elapsed_sec"": 3689.053275000013, ""vehicles"": 25, ""distance"": 1945.070977947428}, {""elapsed_sec"": 3892.883925400034, ""vehicles"": 25, ""distance"": 1945.070977947428}, {""elapsed_sec"": 4094.8640195000335, ""vehicles"": 25, ""distance"": 1945.070977947428}, {""elapsed_sec"": 4094.8640210999874, ""vehicles"": 25, ""distance"": 1945.070977947428}]"
r101.txt,MAS_RL,2,3,4215.487787400023,23.0,1933.4115132308314,14.0,12.0,"[{""elapsed_sec"": 239.58572109998204, ""vehicles"": 34, ""distance"": 3060.0393647397364}, {""elapsed_sec"": 469.1835386999883, ""vehicles"": 29, ""distance"": 2251.66102044781}, {""elapsed_sec"": 688.9248451000312, ""vehicles"": 28, ""distance"": 2278.2818895143696}, {""elapsed_sec"": 905.2159990000073, ""vehicles"": 28, ""distance"": 2278.2818895143696}, {""elapsed_sec"": 1103.2561259000213, ""vehicles"": 28, ""distance"": 2093.017408840283}, {""elapsed_sec"": 1315.7376418000204, ""vehicles"": 27, ""distance"": 2014.0600769356154}, {""elapsed_sec"": 1509.4962601999869, ""vehicles"": 26, ""distance"": 2133.210729314252}, {""elapsed_sec"": 1718.211162200023, ""vehicles"": 26, ""distance"": 2133.210729314252}, {""elapsed_sec"": 1929.4082110000309, ""vehicles"": 26, ""distance"": 2133.210729314252}, {""elapsed_sec"": 2139.2968030999764, ""vehicles"": 25, ""distance"": 2295.938189775559}, {""elapsed_sec"": 2346.1575148000265, ""vehicles"": 25, ""distance"": 2022.7167679976092}, {""elapsed_sec"": 2549.2277385999914, ""vehicles"": 25, ""distance"": 2022.7167679976092}, {""elapsed_sec"": 2755.180130099994, ""vehicles"": 24, ""distance"": 2140.4285028253685}, {""elapsed_sec"": 2975.120413800003, ""vehicles"": 24, ""distance"": 2140.4285028253685}, {""elapsed_sec"": 3183.3795171999955, ""vehicles"": 24, ""distance"": 2140.4285028253685}, {""elapsed_sec"": 3367.588454300014, ""vehicles"": 24, ""distance"": 2029.357441524508}, {""elapsed_sec"": 3583.9530775999883, ""vehicles"": 23, ""distance"": 1954.24290352671}, {""elapsed_sec"": 3800.8022142000264, ""vehicles"": 23, ""distance"": 1954.24290352671}, {""elapsed_sec"": 4015.6940536000184, ""vehicles"": 23, ""distance"": 1954.24290352671}, {""elapsed_sec"": 4215.487785400008, ""vehicles"": 23, ""distance"": 1933.4115132308314}, {""elapsed_sec"": 4215.487787400023, ""vehicles"": 23, ""distance"": 1933.4115132308314}]"
r201.txt,MAS_RL,1,2,2765.3935047000414,8.0,1801.217307742394,10.0,7.0,"[{""elapsed_sec"": 174.88077340001473, ""vehicles"": 14, ""distance"": 1910.8125439469563}, {""elapsed_sec"": 332.14357000001473, ""vehicles"": 10, ""distance"": 2060.1570752985645}, {""elapsed_sec"": 491.4774968000129, ""vehicles"": 10, ""distance"": 2021.940101861208}, {""elapsed_sec"": 642.3624999000458, ""vehicles"": 9, ""distance"": 2094.247421487571}, {""elapsed_sec"": 781.3465562000056, ""vehicles"": 9, ""distance"": 1692.4567882211766}, {""elapsed_sec"": 903.5814832000178, ""vehicles"": 9, ""distance"": 1649.3786217336956}, {""elapsed_sec"": 1038.334599599999, ""vehicles"": 9, ""distance"": 1649.3786217336956}, {""elapsed_sec"": 1171.6071748000104, ""vehicles"": 9, ""distance"": 1649.3786217336956}, {""elapsed_sec"": 1312.0443623000174, ""vehicles"": 9, ""distance"": 1649.3786217336956}, {""elapsed_sec"": 1440.7000745999976, ""vehicles"": 9, ""distance"": 1649.3786217336956}, {""elapsed_sec"": 1564.354178700014, ""vehicles"": 9, ""distance"": 1649.3786217336956}, {""elapsed_sec"": 1701.2502353000455, ""vehicles"": 9, ""distance"": 1649.3786217336956}, {""elapsed_sec"": 1835.072031299991, ""vehicles"": 9, ""distance"": 1649.3786217336956}, {""elapsed_sec"": 1969.1474932000274, ""vehicles"": 9, ""distance"": 1649.3786217336956}, {""elapsed_sec"": 2100.8971541000064, ""vehicles"": 9, ""distance"": 1649.3786217336956}, {""elapsed_sec"": 2237.948220600025, ""vehicles"": 9, ""distance"": 1649.3786217336956}, {""elapsed_sec"": 2369.8344882000238, ""vehicles"": 8, ""distance"": 2194.5655351798196}, {""elapsed_sec"": 2498.9952040000353, ""vehicles"": 8, ""distance"": 2194.5655351798196}, {""elapsed_sec"": 2633.2362566000083, ""vehicles"": 8, ""distance"": 1801.217307742394}, {""elapsed_sec"": 2765.393502700026, ""vehicles"": 8, ""distance"": 1801.217307742394}, {""elapsed_sec"": 2765.3935047000414, ""vehicles"": 8, ""distance"": 1801.217307742394}]"
r201.txt,MAS_RL,2,3,2776.6897238999954,9.0,1528.8662327832847,12.0,11.0,"[{""elapsed_sec"": 159.019461399992, ""vehicles"": 15, ""distance"": 3130.881697459387}, {""elapsed_sec"": 314.64338809996843, ""vehicles"": 13, ""distance"": 2158.95348884114}, {""elapsed_sec"": 464.2713694999693, ""vehicles"": 11, ""distance"": 2244.417107217597}, {""elapsed_sec"": 609.3586975999642, ""vehicles"": 10, ""distance"": 2284.8014055870535}, {""elapsed_sec"": 754.9320490999962, ""vehicles"": 10, ""distance"": 2284.8014055870535}, {""elapsed_sec"": 902.5342563999584, ""vehicles"": 10, ""distance"": 2284.8014055870535}, {""elapsed_sec"": 1028.8929996999796, ""vehicles"": 10, ""distance"": 2284.8014055870535}, {""elapsed_sec"": 1176.7702575000003, ""vehicles"": 10, ""distance"": 1976.090437791982}, {""elapsed_sec"": 1316.4761304999702, ""vehicles"": 10, ""distance"": 1882.110415919362}, {""elapsed_sec"": 1455.2829191999626, ""vehicles"": 10, ""distance"": 1588.132487880617}, {""elapsed_sec"": 1583.620958799962, ""vehicles"": 9, ""distance"": 1713.2129515206873}, {""elapsed_sec"": 1725.8480438999832, ""vehicles"": 9, ""distance"": 1713.2129515206873}, {""elapsed_sec"": 1861.9521085000015, ""vehicles"": 9, ""distance"": 1634.6749157690072}, {""elapsed_sec"": 1993.6981350999558, ""vehicles"": 9, ""distance"": 1634.6749157690072}, {""elapsed_sec"": 2121.370558099996, ""vehicles"": 9, ""distance"": 1634.6749157690072}, {""elapsed_sec"": 2254.624466999958, ""vehicles"": 9, ""distance"": 1634.6749157690072}, {""elapsed_sec"": 2386.9817821999895, ""vehicles"": 9, ""distance"": 1634.6749157690072}, {""elapsed_sec"": 2526.0232304999954, ""vehicles"": 9, ""distance"": 1634.6749157690072}, {""elapsed_sec"": 2639.2075152999605, ""vehicles"": 9, ""distance"": 1528.8662327832847}, {""elapsed_sec"": 2776.689721999981, ""vehicles"": 9, ""distance"": 1528.8662327832847}, {""elapsed_sec"": 2776.6897238999954, ""vehicles"": 9, ""distance"": 1528.8662327832847}]"
rc102.txt,MAS_RL,1,2,3590.3295634000096,18.0,1826.43821605613,8.0,6.0,"[{""elapsed_sec"": 216.4655550000025, ""vehicles"": 25, ""distance"": 2474.8502779273576}, {""elapsed_sec"": 413.7279138000449, ""vehicles"": 22, ""distance"": 2297.873548845735}, {""elapsed_sec"": 602.4806985000032, ""vehicles"": 20, ""distance"": 2153.3650880416967}, {""elapsed_sec"": 787.467049000028, ""vehicles"": 20, ""distance"": 2153.3650880416967}, {""elapsed_sec"": 966.5838897000067, ""vehicles"": 19, ""distance"": 1910.0503523307098}, {""elapsed_sec"": 1118.7475735000335, ""vehicles"": 18, ""distance"": 1895.3482818734553}, {""elapsed_sec"": 1287.420750600053, ""vehicles"": 18, ""distance"": 1895.3482818734553}, {""elapsed_sec"": 1465.6705091000185, ""vehicles"": 18, ""distance"": 1895.3482818734553}, {""elapsed_sec"": 1646.0670632000547, ""vehicles"": 18, ""distance"": 1895.3482818734553}, {""elapsed_sec"": 1817.5521038000006, ""vehicles"": 18, ""distance"": 1895.3482818734553}, {""elapsed_sec"": 1999.19851810002, ""vehicles"": 18, ""distance"": 1895.3482818734553}, {""elapsed_sec"": 2183.8869907000335, ""vehicles"": 18, ""distance"": 1895.3482818734553}, {""elapsed_sec"": 2367.0696613000473, ""vehicles"": 18, ""distance"": 1871.522328057334}, {""elapsed_sec"": 2543.152360600012, ""vehicles"": 18, ""distance"": 1848.1309366362716}, {""elapsed_sec"": 2718.209903900046, ""vehicles"": 18, ""distance"": 1826.43821605613}, {""elapsed_sec"": 2898.0825315000257, ""vehicles"": 18, ""distance"": 1826.43821605613}, {""elapsed_sec"": 3073.5348677000147, ""vehicles"": 18, ""distance"": 1826.43821605613}, {""elapsed_sec"": 3241.2829263000167, ""vehicles"": 18, ""distance"": 1826.43821605613}, {""elapsed_sec"": 3417.121910500049, ""vehicles"": 18, ""distance"": 1826.43821605613}, {""elapsed_sec"": 3590.3295616999967, ""vehicles"": 18, ""distance"": 1826.43821605613}, {""elapsed_sec"": 3590.3295634000096, ""vehicles"": 18, ""distance"": 1826.43821605613}]"
rc102.txt,MAS_RL,2,3,3471.2612472000183,16.0,1908.0264034844572,10.0,8.0,"[{""elapsed_sec"": 210.02848210005322, ""vehicles"": 27, ""distance"": 3426.4175906860605}, {""elapsed_sec"": 415.800315600005, ""vehicles"": 22, ""distance"": 2376.1861334275545}, {""elapsed_sec"": 606.6238546000095, ""vehicles"": 21, ""distance"": 2389.284857657909}, {""elapsed_sec"": 796.3457849000115, ""vehicles"": 21, ""distance"": 2389.284857657909}, {""elapsed_sec"": 966.6165769000072, ""vehicles"": 19, ""distance"": 2068.480031294789}, {""elapsed_sec"": 1151.368157000048, ""vehicles"": 19, ""distance"": 2022.1027460508335}, {""elapsed_sec"": 1324.7794424000313, ""vehicles"": 19, ""distance"": 2022.1027460508335}, {""elapsed_sec"": 1477.196641000046, ""vehicles"": 18, ""distance"": 2032.202464016114}, {""elapsed_sec"": 1656.0150304000126, ""vehicles"": 18, ""distance"": 2032.202464016114}, {""elapsed_sec"": 1833.5537671000347, ""vehicles"": 17, ""distance"": 1978.3668361578787}, {""elapsed_sec"": 1994.6886351000285, ""vehicles"": 17, ""distance"": 1978.3668361578787}, {""elapsed_sec"": 2175.436569600017, ""vehicles"": 17, ""distance"": 1978.3668361578787}, {""elapsed_sec"": 2348.5654446000117, ""vehicles"": 17, ""distance"": 1962.5007862128305}, {""elapsed_sec"": 2518.7980017000227, ""vehicles"": 17, ""distance"": 1962.5007862128305}, {""elapsed_sec"": 2683.6096884, ""vehicles"": 17, ""distance"": 1962.5007862128305}, {""elapsed_sec"": 2855.501041700016, ""vehicles"": 17, ""distance"": 1957.354691070513}, {""elapsed_sec"": 2997.929588800005, ""vehicles"": 17, ""distance"": 1951.0065219797857}, {""elapsed_sec"": 3157.4063191000023, ""vehicles"": 17, ""distance"": 1951.0065219797857}, {""elapsed_sec"": 3298.366249200015, ""vehicles"": 16, ""distance"": 1908.0264034844572}, {""elapsed_sec"": 3471.261245700007, ""vehicles"": 16, ""distance"": 1908.0264034844572}, {""elapsed_sec"": 3471.2612472000183, ""vehicles"": 16, ""distance"": 1908.0264034844572}]"
