instance,method,runs,avg_runtime_sec,avg_vehicles,avg_distance,best_vehicles,best_distance,best_q_table_json,best_action_count_table_json
c101.txt,SA,10,1457.8737726399909,18.2,1563.5277912625068,17,1534.278790970413,,
c102.txt,SA,10,1473.9458176599933,15.2,1476.845909758258,13,1438.5993177544171,,
c201.txt,SA,10,1273.3438930000295,11.1,1438.8005548537028,10,1483.046440457584,,
c202.txt,SA,10,1173.6805984199862,8.5,1298.4187540774817,8,1234.2923800882872,,
r101.txt,SA,10,1924.2273534599924,25.2,1978.9813662377267,24,1925.916365754277,,
r102.txt,SA,10,1686.7300848599873,21.1,1838.9161559501736,20,1765.51170164795,,
r201.txt,SA,10,1260.146833199996,9.3,1593.6652844730995,8,1620.3392521746116,,
r202.txt,SA,10,1100.51064111999,7.8,1443.1147395472317,7,1400.6119307316894,,
rc102.txt,SA,10,1644.128092509997,19.0,1952.344541783567,18,1894.3066077497601,,
rc103.txt,SA,10,1612.5832324200194,16.3,1746.9501192029002,16,1646.3798040012848,,
rc201.txt,SA,10,1220.9280142899952,10.5,1852.5054475451375,10,1700.8621911809098,,
rc204.txt,SA,10,1078.2566969699692,5.2,1262.03372686508,4,1220.2684109716329,,
