instance,method,runs,avg_runtime_sec,avg_vehicles,avg_distance,best_vehicles,best_distance,best_q_table_json,best_action_count_table_json
c101.txt,TS,10,1558.7302891600061,18.8,1542.3587760242494,16,1478.9299851936548,,
c102.txt,TS,10,1467.764945110015,17.0,1452.6845357397865,15,1509.321885278363,,
c201.txt,TS,10,1212.3495168400113,12.1,1423.0893829573263,10,1224.5176159917937,,
c202.txt,TS,10,1154.3863391299965,10.6,1293.4565666541855,9,1249.5647411332868,,
r101.txt,TS,10,1870.0807405800092,25.5,1927.369139283568,25,1874.7999419930502,,
r102.txt,TS,10,1669.1876425600028,21.6,1743.7728380000913,20,1699.8087331118238,,
r201.txt,TS,10,1255.4363079000148,12.5,1482.2674438843171,10,1572.591375072761,,
r202.txt,TS,10,1155.6078105600086,11.1,1429.9590360342654,10,1449.1948719334048,,
rc102.txt,TS,10,1547.0327707099962,20.4,1940.2527947435287,19,1974.0133928976513,,
rc103.txt,TS,10,1517.854530489992,17.7,1743.3245596891436,16,1670.2848465594916,,
rc201.txt,TS,10,1267.9814801100176,13.2,1866.8103028344856,12,1735.1130632892232,,
rc204.txt,TS,10,921.4583129699691,5.8,1307.2677142746466,5,1238.9661846710487,,
