k,distance_bin,sa,ts,ga
5,16,0,0,0
6,14,24,32,25
6,15,68,169,69
6,16,69,171,72
6,17,39,79,47
6,18,13,39,14
6,19,5,13,9
6,20,3,10,2
6,21,2,6,4
6,22,2,2,2
6,23,0,2,1
6,24,3,3,3
6,25,4,2,3
6,26,3,4,2
6,27,1,2,0
6,28,4,3,2
6,30,0,2,1
6,31,0,0,0
7,19,3,6,3
7,20,2,4,3
7,21,6,8,4
7,22,2,4,3
7,23,2,4,3
7,24,0,0,0
7,25,3,5,4
7,26,5,4,6
7,27,6,2,7
7,28,0,0,0
7,29,3,4,5
7,31,1,2,0
7,34,0,1,2
7,35,2,2,2
8,30,0,4,2
8,31,1,1,1
8,32,0,3,0
8,34,0,0,0
9,31,1,4,1
9,34,0,5,1
9,35,2,2,2
9,36,0,0,0
10,36,4,2,0
10,37,0,0,0
999,999,2,4,0
